#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Orbit Parameters
#     PROJECT                         ACE>Advanced Composition Explorer
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       OR>Orbit
#     DESCRIPTOR                      DEF>Definitive Data
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20120920
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      The ACE Science Center  website
#     HTTP_LINK                       http://www.srl.caltech.edu/ACE/ASC/level2/orbit.html
#     TEXT                            ACE orbit data (daily values) in GSE and J2000 GCI coordinate systems
#     MODS                            Initial Release 09/20/2012
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_OR_DEF_19970826_V01
#     LOGICAL_SOURCE                  AC_OR_DEF
#     LOGICAL_SOURCE_DESCRIPTION      ACE Daily GSE and J2000 GCI Position Data
#     PI_NAME                         E. C. Stone
#     PI_AFFILIATION                  California Institute of Technology
#     MISSION_GROUP                   ACE
#     INSTRUMENT_TYPE                 Ephemeris/Attitude/Ancillary
#                                     Particles (space)
#                                     Plasma and Solar Wind
#                                     Magnetic Fields (space)
#     TIME_RESOLUTION                 1 day
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, E. C. Stone of
#                                     Caltech, USA
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/Ephemeris/Definitive/P1D
#     CDAWEB_PARENTS                  ac_or_def_00000000_v01
#                                     ac_or_def_19970826_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. ACE s/c position, 3 comp. in GSE coord.
#       NOTES:  ACE s/c position, 3 comp. in GSE coord.
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,X_GSE_km,Y_GSE_km,Z_GSE_km
2021-01-31T00:00:00.000Z,1.42724e+06,233838.,-82572.8
2021-02-01T00:00:00.000Z,1.43043e+06,236264.,-87070.1
2021-02-02T00:00:00.000Z,1.43389e+06,238481.,-91463.2
2021-02-03T00:00:00.000Z,1.43751e+06,240572.,-95770.4
2021-02-04T00:00:00.000Z,1.44131e+06,242508.,-99940.4
2021-02-05T00:00:00.000Z,1.44517e+06,244368.,-104026.
2021-02-06T00:00:00.000Z,1.44907e+06,246142.,-108015.
2021-02-07T00:00:00.000Z,1.45294e+06,247759.,-111829.
2021-02-08T00:00:00.000Z,1.45676e+06,249258.,-115524.
2021-02-09T00:00:00.000Z,1.46046e+06,250570.,-119055.
2021-02-10T00:00:00.000Z,1.46404e+06,251712.,-122453.
2021-02-11T00:00:00.000Z,1.46742e+06,252535.,-125651.
2021-02-12T00:00:00.000Z,1.47066e+06,253131.,-128719.
2021-02-13T00:00:00.000Z,1.47371e+06,253368.,-131598.
2021-02-14T00:00:00.000Z,1.47656e+06,253187.,-134280.
2021-02-15T00:00:00.000Z,1.47926e+06,252608.,-136787.
2021-02-16T00:00:00.000Z,1.48182e+06,251625.,-139125.
2021-02-17T00:00:00.000Z,1.48424e+06,250108.,-141252.
2021-02-18T00:00:00.000Z,1.48658e+06,248124.,-143201.
2021-02-19T00:00:00.000Z,1.48887e+06,245625.,-144961.
2021-02-20T00:00:00.000Z,1.49112e+06,242774.,-146593.
2021-02-21T00:00:00.000Z,1.49337e+06,239340.,-148017.
2021-02-22T00:00:00.000Z,1.49565e+06,235359.,-149248.
2021-02-23T00:00:00.000Z,1.49800e+06,230943.,-150316.
2021-02-24T00:00:00.000Z,1.50044e+06,226098.,-151223.
2021-02-25T00:00:00.000Z,1.50299e+06,220800.,-151969.
2021-02-26T00:00:00.000Z,1.50568e+06,215131.,-152563.
2021-02-27T00:00:00.000Z,1.50857e+06,209072.,-152978.
2021-02-28T00:00:00.000Z,1.51159e+06,202783.,-153269.
2021-03-01T00:00:00.000Z,1.51481e+06,196237.,-153391.
2021-03-02T00:00:00.000Z,1.51820e+06,189518.,-153346.
2021-03-03T00:00:00.000Z,1.52170e+06,182707.,-153162.
