EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_km,Y_(@_y_)_km,Z_(@_z_)_km
2019-01-01T00:00:00.000Z,1414716,-211445.68,98192.5
2019-01-01T00:00:00.000Z,1414716,-211445.68,98192.5
2019-01-01T00:12:00.000Z,1414705.6,-211395.47,98159.394
2019-01-01T00:24:00.000Z,1414695.4,-211345.28,98126.349
2019-01-01T00:36:00.000Z,1414685.1,-211295.07,98093.207
2019-01-01T00:48:00.000Z,1414674.8,-211244.85,98060.136
2019-01-01T01:00:00.000Z,1414664.4,-211194.62,98026.934
2019-01-01T01:12:00.000Z,1414654.2,-211144.41,97993.828
2019-01-01T01:24:00.000Z,1414644.1,-211094.21,97960.687
2019-01-01T01:36:00.000Z,1414634.2,-211044.03,97927.641
2019-01-01T01:48:00.000Z,1414624,-210993.81,97894.474
2019-01-01T02:00:00.000Z,1414614,-210943.61,97861.368
2019-01-01T02:12:00.000Z,1414604,-210893.41,97828.262
2019-01-01T02:24:00.000Z,1414594.1,-210843.21,97795.121
2019-01-01T02:36:00.000Z,1414584.4,-210793.04,97762.075
2019-01-01T02:48:00.000Z,1414574.4,-210742.82,97728.908
2019-01-01T03:00:00.000Z,1414564.7,-210692.63,97695.802
2019-01-01T03:12:00.000Z,1414554.9,-210642.44,97662.696
2019-01-01T03:24:00.000Z,1414545.3,-210592.25,97629.554
2019-01-01T03:36:00.000Z,1414535.7,-210542.07,97596.448
2019-01-01T03:48:00.000Z,1414526.1,-210491.88,97563.342
2019-01-01T04:00:00.000Z,1414516.5,-210441.7,97530.236
2019-01-01T04:12:00.000Z,1414507,-210391.52,97497.129
2019-01-01T04:24:00.000Z,1414497.6,-210341.34,97463.988
2019-01-01T04:36:00.000Z,1414488.2,-210291.16,97430.882
2019-01-01T04:48:00.000Z,1414478.8,-210240.99,97397.776
2019-01-01T05:00:00.000Z,1414469.5,-210190.82,97364.669
2019-01-01T05:12:00.000Z,1414460.3,-210140.65,97331.528
2019-01-01T05:24:00.000Z,1414451,-210090.47,97298.422
2019-01-01T05:36:00.000Z,1414441.9,-210040.3,97265.316
2019-01-01T05:48:00.000Z,1414432.7,-209990.14,97232.209
2019-01-01T06:00:00.000Z,1414423.7,-209939.98,97199.103
2019-01-01T06:12:00.000Z,1414414.5,-209889.79,97165.901
2019-01-01T06:24:00.000Z,1414405.5,-209839.63,97132.795
2019-01-01T06:36:00.000Z,1414396.7,-209789.5,97099.749
2019-01-01T06:48:00.000Z,1414387.8,-209739.34,97066.643
2019-01-01T07:00:00.000Z,1414379,-209689.19,97033.537
2019-01-01T07:12:00.000Z,1414370,-209639.02,97000.335
2019-01-01T07:24:00.000Z,1414361.3,-209588.86,96967.229
2019-01-01T07:36:00.000Z,1414352.7,-209538.75,96934.148
2019-01-01T07:48:00.000Z,1414344,-209488.6,96901.077
2019-01-01T08:00:00.000Z,1414335.3,-209438.43,96867.91
2019-01-01T08:12:00.000Z,1414326.7,-209388.29,96834.769
2019-01-01T08:24:00.000Z,1414318.2,-209338.15,96801.662
2019-01-01T08:36:00.000Z,1414309.8,-209288.04,96768.617
2019-01-01T08:48:00.000Z,1414301.4,-209237.9,96735.511
2019-01-01T09:00:00.000Z,1414292.9,-209187.75,96702.309
2019-01-01T09:12:00.000Z,1414284.5,-209137.62,96669.202
2019-01-01T09:24:00.000Z,1414276.2,-209087.49,96636.096
2019-01-01T09:36:00.000Z,1414268,-209037.36,96602.99
2019-01-01T09:48:00.000Z,1414259.8,-208987.24,96569.884
2019-01-01T10:00:00.000Z,1414251.6,-208937.12,96536.742
2019-01-01T10:12:00.000Z,1414243.5,-208887,96503.636
2019-01-01T10:24:00.000Z,1414235.4,-208836.88,96470.53
2019-01-01T10:36:00.000Z,1414227.4,-208786.76,96437.424
2019-01-01T10:48:00.000Z,1414219.4,-208736.65,96404.317
2019-01-01T11:00:00.000Z,1414211.5,-208686.55,96371.176
2019-01-01T11:12:00.000Z,1414203.6,-208636.44,96338.07
2019-01-01T11:24:00.000Z,1414195.8,-208586.34,96304.929
2019-01-01T11:36:00.000Z,1414188,-208536.22,96271.857
2019-01-01T11:48:00.000Z,1414180.2,-208486.12,96238.716
2019-01-01T12:00:00.000Z,1414172.5,-208436.03,96205.61
2019-01-01T12:12:00.000Z,1414164.9,-208385.93,96172.504
2019-01-01T12:24:00.000Z,1414157.3,-208335.84,96139.362
2019-01-01T12:36:00.000Z,1414149.7,-208285.74,96106.291
2019-01-01T12:48:00.000Z,1414142.2,-208235.66,96073.15
2019-01-01T13:00:00.000Z,1414134.7,-208185.57,96040.044
2019-01-01T13:12:00.000Z,1414127.3,-208135.48,96006.937
2019-01-01T13:24:00.000Z,1414119.8,-208085.38,95973.735
2019-01-01T13:36:00.000Z,1414112.4,-208035.29,95940.664
2019-01-01T13:48:00.000Z,1414105.3,-207985.25,95907.584
2019-01-01T14:00:00.000Z,1414098,-207935.18,95874.477
2019-01-01T14:12:00.000Z,1414090.9,-207885.1,95841.371
2019-01-01T14:24:00.000Z,1414083.6,-207835.01,95808.169
2019-01-01T14:36:00.000Z,1414076.5,-207784.94,95775.098
2019-01-01T14:48:00.000Z,1414069.5,-207734.9,95742.017
2019-01-01T15:00:00.000Z,1414062.5,-207684.84,95708.911
2019-01-01T15:12:00.000Z,1414055.4,-207634.75,95675.709
2019-01-01T15:24:00.000Z,1414048.5,-207584.7,95642.603
2019-01-01T15:36:00.000Z,1414041.1,-207534.27,95609.394
2019-01-01T15:48:00.000Z,1414029,-207480.79,95575.136
2019-01-01T16:00:00.000Z,1414016.2,-207426.88,95540.716
2019-01-01T16:12:00.000Z,1414003.4,-207372.94,95506.269
