EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,X_GSE_km,Y_GSE_km,Z_GSE_km
2019-01-01T00:00:00.000Z,1540561.1,83192.29,-123266.84
2019-01-01T00:01:00.000Z,1540562.4,83186.48,-123269.92
2019-01-01T00:02:00.000Z,1540563.7,83180.671,-123272.99
2019-01-01T00:03:00.000Z,1540565,83174.861,-123276.06
2019-01-01T00:04:00.000Z,1540566.4,83169.051,-123279.14
2019-01-01T00:05:00.000Z,1540567.7,83163.242,-123282.21
2019-01-01T00:06:00.000Z,1540569,83157.432,-123285.28
2019-01-01T00:07:00.000Z,1540570.3,83151.622,-123288.36
2019-01-01T00:08:00.000Z,1540571.6,83145.813,-123291.43
2019-01-01T00:09:00.000Z,1540573,83140.003,-123294.5
2019-01-01T00:10:00.000Z,1540574.3,83134.194,-123297.57
2019-01-01T00:11:00.000Z,1540575.6,83128.384,-123300.65
2019-01-01T00:12:00.000Z,1540576.9,83122.575,-123303.72
2019-01-01T00:13:00.000Z,1540578.2,83116.766,-123306.79
2019-01-01T00:14:00.000Z,1540579.6,83110.956,-123309.86
2019-01-01T00:15:00.000Z,1540580.9,83105.147,-123312.94
2019-01-01T00:16:00.000Z,1540582.2,83099.337,-123316.01
2019-01-01T00:17:00.000Z,1540583.5,83093.528,-123319.08
2019-01-01T00:18:00.000Z,1540584.8,83087.719,-123322.15
2019-01-01T00:19:00.000Z,1540586.2,83081.91,-123325.22
2019-01-01T00:20:00.000Z,1540587.5,83076.101,-123328.3
2019-01-01T00:21:00.000Z,1540588.8,83070.291,-123331.37
2019-01-01T00:22:00.000Z,1540590.1,83064.482,-123334.44
2019-01-01T00:23:00.000Z,1540591.4,83058.673,-123337.51
2019-01-01T00:24:00.000Z,1540592.8,83052.864,-123340.58
2019-01-01T00:25:00.000Z,1540594.1,83047.055,-123343.66
2019-01-01T00:26:00.000Z,1540595.4,83041.246,-123346.73
2019-01-01T00:27:00.000Z,1540596.7,83035.437,-123349.8
2019-01-01T00:28:00.000Z,1540598,83029.628,-123352.87
2019-01-01T00:29:00.000Z,1540599.3,83023.819,-123355.94
2019-01-01T00:30:00.000Z,1540600.7,83018.01,-123359.01
2019-01-01T00:31:00.000Z,1540602,83012.201,-123362.09
2019-01-01T00:32:00.000Z,1540603.3,83006.393,-123365.16
2019-01-01T00:33:00.000Z,1540604.6,83000.584,-123368.23
2019-01-01T00:34:00.000Z,1540605.9,82994.775,-123371.3
2019-01-01T00:35:00.000Z,1540607.3,82988.966,-123374.37
2019-01-01T00:36:00.000Z,1540608.6,82983.158,-123377.44
2019-01-01T00:37:00.000Z,1540609.9,82977.349,-123380.51
2019-01-01T00:38:00.000Z,1540611.2,82971.54,-123383.58
2019-01-01T00:39:00.000Z,1540612.5,82965.732,-123386.65
2019-01-01T00:40:00.000Z,1540613.8,82959.923,-123389.73
2019-01-01T00:41:00.000Z,1540615.2,82954.114,-123392.8
2019-01-01T00:42:00.000Z,1540616.5,82948.306,-123395.87
2019-01-01T00:43:00.000Z,1540617.8,82942.497,-123398.94
2019-01-01T00:44:00.000Z,1540619.1,82936.689,-123402.01
2019-01-01T00:45:00.000Z,1540620.4,82930.88,-123405.08
2019-01-01T00:46:00.000Z,1540621.7,82925.072,-123408.15
2019-01-01T00:47:00.000Z,1540623.1,82919.264,-123411.22
2019-01-01T00:48:00.000Z,1540624.4,82913.455,-123414.29
2019-01-01T00:49:00.000Z,1540625.7,82907.647,-123417.36
2019-01-01T00:50:00.000Z,1540627,82901.839,-123420.43
2019-01-01T00:51:00.000Z,1540628.3,82896.03,-123423.5
2019-01-01T00:52:00.000Z,1540629.6,82890.222,-123426.57
2019-01-01T00:53:00.000Z,1540630.9,82884.414,-123429.64
2019-01-01T00:54:00.000Z,1540632.3,82878.606,-123432.71
2019-01-01T00:55:00.000Z,1540633.6,82872.798,-123435.78
2019-01-01T00:56:00.000Z,1540634.9,82866.99,-123438.85
2019-01-01T00:57:00.000Z,1540636.2,82861.182,-123441.92
2019-01-01T00:58:00.000Z,1540637.5,82855.374,-123444.99
2019-01-01T00:59:00.000Z,1540638.8,82849.565,-123448.06
2019-01-01T01:00:00.000Z,1540640.2,82843.758,-123451.13
2019-01-01T01:01:00.000Z,1540641.5,82837.95,-123454.2
2019-01-01T01:02:00.000Z,1540642.8,82832.142,-123457.27
2019-01-01T01:03:00.000Z,1540644.1,82826.334,-123460.34
2019-01-01T01:04:00.000Z,1540645.4,82820.526,-123463.41
