EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,PROTON_DENSITY_n/cc,X_(S/C)__GSE_Re,Y_(S/C)__GSE_Re,Z_(S/C)__GSE_Re
2019-01-01T00:00:00.000Z,4.96,208.01,94.79,-6.49
2019-01-01T00:01:00.000Z,4.95,208.01,94.79,-6.49
2019-01-01T00:02:00.000Z,4.88,208.02,94.79,-6.49
2019-01-01T00:03:00.000Z,5.43,208.01,94.79,-6.49
2019-01-01T00:04:00.000Z,5.64,208.01,94.79,-6.49
2019-01-01T00:05:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:06:00.000Z,4.5,208.01,94.79,-6.49
2019-01-01T00:07:00.000Z,4.5,208.01,94.79,-6.49
2019-01-01T00:08:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:09:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:10:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:11:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:12:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:13:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:14:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:15:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:16:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:17:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:18:00.000Z,4.86,208.02,94.8,-6.49
2019-01-01T00:19:00.000Z,4.86,208.02,94.8,-6.49
2019-01-01T00:20:00.000Z,4.86,208.02,94.8,-6.49
2019-01-01T00:21:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:22:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:23:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:24:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:25:00.000Z,3.72,208.03,94.8,-6.49
2019-01-01T00:26:00.000Z,3.72,208.03,94.8,-6.49
2019-01-01T00:27:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:28:00.000Z,999.99,9999.99,9999.99,9999.99
2019-01-01T00:29:00.000Z,4.16,208.03,94.8,-6.49
2019-01-01T00:30:00.000Z,4.16,208.03,94.8,-6.49
2019-01-01T00:31:00.000Z,4.16,208.03,94.8,-6.49
2019-01-01T00:32:00.000Z,4.9,208.03,94.8,-6.49
2019-01-01T00:33:00.000Z,4.9,208.03,94.8,-6.49
2019-01-01T00:34:00.000Z,4.45,208.03,94.8,-6.49
2019-01-01T00:35:00.000Z,3.66,208.03,94.81,-6.49
2019-01-01T00:36:00.000Z,3.86,208.03,94.81,-6.49
2019-01-01T00:37:00.000Z,4.41,208.03,94.81,-6.49
2019-01-01T00:38:00.000Z,4.51,208.04,94.82,-6.49
2019-01-01T00:39:00.000Z,4.36,208.04,94.82,-6.49
2019-01-01T00:40:00.000Z,4.77,208.03,94.81,-6.49
