:Data_list: 20211220_ace_swepam_1m.txt
:Created: 2021 Dec 21 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 12 20  0000   59568       0    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0001   59568      60    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0002   59568     120    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0003   59568     180    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0004   59568     240    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0005   59568     300    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0006   59568     360    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0007   59568     420    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0008   59568     480    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0009   59568     540    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0010   59568     600    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0011   59568     660    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0012   59568     720    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0013   59568     780    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0014   59568     840    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0015   59568     900    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0016   59568     960    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0017   59568    1020    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0018   59568    1080    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0019   59568    1140    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0020   59568    1200    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0021   59568    1260    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0022   59568    1320    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0023   59568    1380    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0024   59568    1440    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0025   59568    1500    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0026   59568    1560    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0027   59568    1620    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0028   59568    1680    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0029   59568    1740    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0030   59568    1800    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0031   59568    1860    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0032   59568    1920    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0033   59568    1980    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0034   59568    2040    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0035   59568    2100    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0036   59568    2160    9    -9999.9    -9999.9    -1.00e+05
2021 12 20  0037   59568    2220    9    -9999.9    -9999.9    -1.00e+05
