:Data_list: 20220107_ace_swepam_1m.txt
:Created: 2022 Jan 07 1601 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 01 07  0000   59586       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0001   59586      60    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0002   59586     120    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0003   59586     180    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0004   59586     240    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0005   59586     300    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0006   59586     360    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0007   59586     420    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0008   59586     480    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0009   59586     540    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0010   59586     600    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0011   59586     660    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0012   59586     720    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0013   59586     780    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0014   59586     840    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0015   59586     900    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0016   59586     960    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0017   59586    1020    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0018   59586    1080    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0019   59586    1140    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0020   59586    1200    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0021   59586    1260    9    -9999.9    -9999.9    -1.00e+05
2022 01 07  0022   59586    1320    9    -9999.9    -9999.9    -1.00e+05
