:Data_list: 20231017_ace_swepam_1m.txt
:Created: 2023 Oct 18 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2023 10 17  0000   60234       0    0        0.5      329.7     3.52e+04
2023 10 17  0001   60234      60    0        0.4      329.6     3.83e+04
2023 10 17  0002   60234     120    0        0.4      332.2     3.42e+04
2023 10 17  0003   60234     180    3    -9999.9    -9999.9    -1.00e+05
2023 10 17  0004   60234     240    3    -9999.9    -9999.9    -1.00e+05
2023 10 17  0005   60234     300    0        0.4      334.5     3.70e+04
2023 10 17  0006   60234     360    0        0.4      333.8     4.07e+04
2023 10 17  0007   60234     420    0        0.4      336.2     3.88e+04
2023 10 17  0008   60234     480    0        0.4      335.5     2.66e+04
2023 10 17  0009   60234     540    0        0.5      331.2     1.85e+04
2023 10 17  0010   60234     600    0        0.7      327.8     2.19e+04
2023 10 17  0011   60234     660    0        0.8      323.9     2.52e+04
2023 10 17  0012   60234     720    0        0.9      322.5     2.70e+04
2023 10 17  0013   60234     780    0        1.2      321.0     2.82e+04
2023 10 17  0014   60234     840    0        1.2      322.7     2.63e+04
2023 10 17  0015   60234     900    0        1.0      319.2     2.74e+04
2023 10 17  0016   60234     960    0        0.9      324.6     1.93e+04
2023 10 17  0017   60234    1020    0        0.8      326.6     2.20e+04
2023 10 17  0018   60234    1080    0        0.6      328.2     2.84e+04
2023 10 17  0019   60234    1140    0        0.6      328.4     2.93e+04
2023 10 17  0020   60234    1200    0        0.6      331.0     2.02e+04
2023 10 17  0021   60234    1260    0        0.8      327.2     2.06e+04
2023 10 17  0022   60234    1320    0        1.0      324.5     2.00e+04
2023 10 17  0023   60234    1380    0        0.9      325.7     1.92e+04
2023 10 17  0024   60234    1440    0        0.9      325.8     1.91e+04
2023 10 17  0025   60234    1500    0        0.9      324.0     2.07e+04
2023 10 17  0026   60234    1560    0        0.8      323.5     2.25e+04
2023 10 17  0027   60234    1620    0        0.8      323.9     2.18e+04
2023 10 17  0028   60234    1680    0        0.9      324.9     2.11e+04
2023 10 17  0029   60234    1740    0        0.9      324.7     2.13e+04
2023 10 17  0030   60234    1800    0        0.5      326.6     2.39e+04
2023 10 17  0031   60234    1860    0        0.6      327.8     1.64e+04
2023 10 17  0032   60234    1920    0        0.2      331.2     2.51e+04
2023 10 17  0033   60234    1980    0        0.3      332.0     2.38e+04
2023 10 17  0034   60234    2040    0        0.7      327.9     1.89e+04
2023 10 17  0035   60234    2100    0        0.4      331.0     2.40e+04
2023 10 17  0036   60234    2160    3    -9999.9    -9999.9    -1.00e+05
2023 10 17  0037   60234    2220    3    -9999.9    -9999.9    -1.00e+05
2023 10 17  0038   60234    2280    0        1.1      322.6     2.49e+04
2023 10 17  0039   60234    2340    0        1.0      322.4     2.38e+04
2023 10 17  0040   60234    2400    0        1.0      324.6     2.10e+04
2023 10 17  0041   60234    2460    0        1.0      325.1     2.13e+04
2023 10 17  0042   60234    2520    0        1.1      322.9     2.25e+04
2023 10 17  0043   60234    2580    0        1.1      324.7     2.12e+04
2023 10 17  0044   60234    2640    0        0.7      325.7     2.63e+04
2023 10 17  0045   60234    2700    0        0.8      326.5     2.49e+04
2023 10 17  0046   60234    2760    0        0.5      330.0     2.22e+04
2023 10 17  0047   60234    2820    0        0.5      329.5     2.22e+04
2023 10 17  0048   60234    2880    0        1.1      320.7     2.10e+04
2023 10 17  0049   60234    2940    0        1.3      322.6     1.97e+04
2023 10 17  0050   60234    3000    0        0.9      323.4     2.37e+04
2023 10 17  0051   60234    3060    0        0.6      325.0     3.01e+04
2023 10 17  0052   60234    3120    0        0.5      329.8     2.64e+04
2023 10 17  0053   60234    3180    0        0.4      331.1     2.65e+04
2023 10 17  0054   60234    3240    0        0.3      336.0     2.80e+04
2023 10 17  0055   60234    3300    0        0.7      330.5     2.85e+04
2023 10 17  0056   60234    3360    0        0.9      323.7     2.90e+04
2023 10 17  0057   60234    3420    0        1.0      324.1     2.80e+04
2023 10 17  0058   60234    3480    0        1.0      324.1     2.72e+04
2023 10 17  0059   60234    3540    0        1.0      323.2     2.92e+04
2023 10 17  0100   60234    3600    0        0.9      322.9     2.93e+04
2023 10 17  0101   60234    3660    0        0.9      325.2     3.41e+04
2023 10 17  0102   60234    3720    0        0.5      332.6     3.30e+04
2023 10 17  0103   60234    3780    0        1.0      323.0     3.15e+04
2023 10 17  0104   60234    3840    0        1.2      321.3     2.61e+04
2023 10 17  0105   60234    3900    0        1.1      319.6     3.27e+04
2023 10 17  0106   60234    3960    0        1.2      319.4     3.29e+04
2023 10 17  0107   60234    4020    0        1.1      319.5     2.68e+04
2023 10 17  0108   60234    4080    0        1.1      321.2     2.73e+04
2023 10 17  0109   60234    4140    0        1.1      321.4     2.71e+04
2023 10 17  0110   60234    4200    0        1.0      321.1     2.68e+04
2023 10 17  0111   60234    4260    0        1.3      319.6     3.11e+04
2023 10 17  0112   60234    4320    0        1.1      320.5     3.01e+04
2023 10 17  0113   60234    4380    0        1.1      321.4     2.69e+04
2023 10 17  0114   60234    4440    0        1.1      321.4     2.40e+04
2023 10 17  0115   60234    4500    0        1.0      321.2     2.24e+04
2023 10 17  0116   60234    4560    0        1.2      321.1     1.94e+04
2023 10 17  0117   60234    4620    0        0.9      321.8     2.15e+04
2023 10 17  0118   60234    4680    0        0.9      321.9     2.14e+04
2023 10 17  0119   60234    4740    0        0.9      320.2     2.32e+04
2023 10 17  0120   60234    4800    0        1.1      321.9     1.87e+04
2023 10 17  0121   60234    4860    0        1.0      319.5     2.44e+04
2023 10 17  0122   60234    4920    0        0.7      320.7     2.14e+04
2023 10 17  0123   60234    4980    0        1.1      316.7     2.36e+04
2023 10 17  0124   60234    5040    0        1.0      319.1     2.49e+04
2023 10 17  0125   60234    5100    0        1.0      318.3     2.45e+04
2023 10 17  0126   60234    5160    0        1.1      317.3     2.26e+04
2023 10 17  0127   60234    5220    0        1.1      317.5     2.20e+04
2023 10 17  0128   60234    5280    0        1.1      319.3     1.97e+04
2023 10 17  0129   60234    5340    0        1.1      319.3     1.94e+04
2023 10 17  0130   60234    5400    0        1.1      316.1     2.30e+04
2023 10 17  0131   60234    5460    0        1.2      315.0     2.10e+04
2023 10 17  0132   60234    5520    0        1.1      315.9     1.59e+04
2023 10 17  0133   60234    5580    0        1.0      316.5     1.58e+04
